Starting imports...
Importing argparse...
Importing torch...
Importing os...
Importing sngp.train and sngp.model...
Importing gaussian_process...
Importing dataset...
Importing json...
ALL IMPORTS COMPLETE!
Parsing arguments...
Arguments parsed! Running GP on CrazySin with N=1500
Checking CUDA availability...
Using CPU
Making Datasets...
Making Model...
Training Gaussian Process...
Iter   0 | Loss: 17690.125 | lengthscale: 0.990 | outputscale: 1.010 | noise: 0.202
Iter  10 | Loss: 14294.817 | lengthscale: 0.895 | outputscale: 1.117 | noise: 0.223
Iter  20 | Loss: 11548.229 | lengthscale: 0.805 | outputscale: 1.239 | noise: 0.245
Iter  30 | Loss: 9084.561 | lengthscale: 0.714 | outputscale: 1.388 | noise: 0.267
Iter  40 | Loss: 5938.961 | lengthscale: 0.622 | outputscale: 1.587 | noise: 0.287
Iter  50 | Loss: 3840.944 | lengthscale: 0.543 | outputscale: 1.811 | noise: 0.303
Iter  60 | Loss: 2928.178 | lengthscale: 0.491 | outputscale: 2.001 | noise: 0.315
Iter  70 | Loss: 1761.940 | lengthscale: 0.444 | outputscale: 2.191 | noise: 0.323
Iter  80 | Loss:  440.862 | lengthscale: 0.396 | outputscale: 2.426 | noise: 0.327
Iter  90 | Loss:   42.034 | lengthscale: 0.364 | outputscale: 2.628 | noise: 0.327
Iter 100 | Loss:  -49.099 | lengthscale: 0.348 | outputscale: 2.756 | noise: 0.326
Iter 110 | Loss:  -85.389 | lengthscale: 0.339 | outputscale: 2.833 | noise: 0.323
Iter 120 | Loss: -108.578 | lengthscale: 0.334 | outputscale: 2.883 | noise: 0.320
Iter 130 | Loss: -127.751 | lengthscale: 0.331 | outputscale: 2.920 | noise: 0.317
Iter 140 | Loss: -145.515 | lengthscale: 0.328 | outputscale: 2.950 | noise: 0.314
Iter 150 | Loss: -162.770 | lengthscale: 0.326 | outputscale: 2.976 | noise: 0.310
Iter 160 | Loss: -179.869 | lengthscale: 0.324 | outputscale: 3.000 | noise: 0.307
Iter 170 | Loss: -196.983 | lengthscale: 0.322 | outputscale: 3.022 | noise: 0.303
Iter 180 | Loss: -214.182 | lengthscale: 0.320 | outputscale: 3.043 | noise: 0.300
Iter 190 | Loss: -231.514 | lengthscale: 0.319 | outputscale: 3.062 | noise: 0.296
Iter 200 | Loss: -249.002 | lengthscale: 0.317 | outputscale: 3.080 | noise: 0.293
Iter 210 | Loss: -266.661 | lengthscale: 0.316 | outputscale: 3.098 | noise: 0.289
Iter 220 | Loss: -284.503 | lengthscale: 0.315 | outputscale: 3.114 | noise: 0.285
Iter 230 | Loss: -302.521 | lengthscale: 0.314 | outputscale: 3.130 | noise: 0.281
Iter 240 | Loss: -320.727 | lengthscale: 0.313 | outputscale: 3.145 | noise: 0.278
Iter 250 | Loss: -339.111 | lengthscale: 0.311 | outputscale: 3.159 | noise: 0.274
Iter 260 | Loss: -357.659 | lengthscale: 0.310 | outputscale: 3.173 | noise: 0.270
Iter 270 | Loss: -376.374 | lengthscale: 0.309 | outputscale: 3.185 | noise: 0.266
Iter 280 | Loss: -395.243 | lengthscale: 0.308 | outputscale: 3.197 | noise: 0.262
Iter 290 | Loss: -414.261 | lengthscale: 0.308 | outputscale: 3.209 | noise: 0.258
Iter 300 | Loss: -433.410 | lengthscale: 0.307 | outputscale: 3.219 | noise: 0.255
Iter 310 | Loss: -452.667 | lengthscale: 0.306 | outputscale: 3.230 | noise: 0.251
Iter 320 | Loss: -472.031 | lengthscale: 0.305 | outputscale: 3.239 | noise: 0.247
Iter 330 | Loss: -491.491 | lengthscale: 0.304 | outputscale: 3.249 | noise: 0.243
Iter 340 | Loss: -511.012 | lengthscale: 0.304 | outputscale: 3.257 | noise: 0.239
Iter 350 | Loss: -530.600 | lengthscale: 0.303 | outputscale: 3.265 | noise: 0.236
Iter 360 | Loss: -550.216 | lengthscale: 0.302 | outputscale: 3.273 | noise: 0.232
Iter 370 | Loss: -569.858 | lengthscale: 0.302 | outputscale: 3.280 | noise: 0.228
Iter 380 | Loss: -589.507 | lengthscale: 0.301 | outputscale: 3.287 | noise: 0.224
Iter 390 | Loss: -609.131 | lengthscale: 0.301 | outputscale: 3.293 | noise: 0.221
Iter 400 | Loss: -628.722 | lengthscale: 0.300 | outputscale: 3.299 | noise: 0.217
Iter 410 | Loss: -648.255 | lengthscale: 0.300 | outputscale: 3.304 | noise: 0.213
Iter 420 | Loss: -667.709 | lengthscale: 0.299 | outputscale: 3.309 | noise: 0.210
Iter 430 | Loss: -687.070 | lengthscale: 0.299 | outputscale: 3.314 | noise: 0.206
Iter 440 | Loss: -706.304 | lengthscale: 0.298 | outputscale: 3.318 | noise: 0.203
