Starting imports...
Importing argparse...
Importing torch...
Importing os...
Importing sngp.train and sngp.model...
Importing gaussian_process...
Importing dataset...
Importing json...
ALL IMPORTS COMPLETE!
Parsing arguments...
Arguments parsed! Running GP on Friedman with N=1500
Checking CUDA availability...
Using CPU
Making Datasets...
Making Model...
Training Gaussian Process...
Iter   0 | Loss: 2751.072 | lengthscale: 1.010 | outputscale: 1.010 | noise: 0.202
Iter  10 | Loss: 2651.147 | lengthscale: 1.116 | outputscale: 1.113 | noise: 0.223
Iter  20 | Loss: 2599.868 | lengthscale: 1.230 | outputscale: 1.211 | noise: 0.242
Iter  30 | Loss: 2579.071 | lengthscale: 1.355 | outputscale: 1.288 | noise: 0.256
Iter  40 | Loss: 2570.115 | lengthscale: 1.500 | outputscale: 1.333 | noise: 0.263
Iter  50 | Loss: 2561.242 | lengthscale: 1.676 | outputscale: 1.349 | noise: 0.263
Iter  60 | Loss: 2546.927 | lengthscale: 1.900 | outputscale: 1.344 | noise: 0.258
Iter  70 | Loss: 2522.947 | lengthscale: 2.194 | outputscale: 1.328 | noise: 0.249
Iter  80 | Loss: 2482.385 | lengthscale: 2.583 | outputscale: 1.308 | noise: 0.236
Iter  90 | Loss: 2414.550 | lengthscale: 3.096 | outputscale: 1.282 | noise: 0.220
Iter 100 | Loss: 2306.836 | lengthscale: 3.759 | outputscale: 1.246 | noise: 0.200
Iter 110 | Loss: 2148.586 | lengthscale: 4.601 | outputscale: 1.194 | noise: 0.177
Iter 120 | Loss: 1936.320 | lengthscale: 5.652 | outputscale: 1.124 | noise: 0.154
Iter 130 | Loss: 1683.778 | lengthscale: 6.938 | outputscale: 1.044 | noise: 0.134
Iter 140 | Loss: 1440.380 | lengthscale: 8.440 | outputscale: 0.969 | noise: 0.125
Iter 150 | Loss: 1260.997 | lengthscale: 10.021 | outputscale: 0.916 | noise: 0.142
Iter 160 | Loss: 1116.484 | lengthscale: 11.537 | outputscale: 0.886 | noise: 0.180
Iter 170 | Loss:  995.727 | lengthscale: 13.082 | outputscale: 0.860 | noise: 0.224
Iter 180 | Loss:  901.657 | lengthscale: 14.758 | outputscale: 0.833 | noise: 0.249
Iter 190 | Loss:  821.446 | lengthscale: 16.532 | outputscale: 0.807 | noise: 0.250
Iter 200 | Loss:  758.195 | lengthscale: 18.320 | outputscale: 0.788 | noise: 0.253
Iter 210 | Loss:  707.794 | lengthscale: 20.083 | outputscale: 0.774 | noise: 0.262
Iter 220 | Loss:  666.723 | lengthscale: 21.834 | outputscale: 0.763 | noise: 0.266
Iter 230 | Loss:  631.756 | lengthscale: 23.585 | outputscale: 0.753 | noise: 0.268
Iter 240 | Loss:  601.022 | lengthscale: 25.354 | outputscale: 0.746 | noise: 0.272
Iter 250 | Loss:  573.683 | lengthscale: 27.154 | outputscale: 0.739 | noise: 0.273
Iter 260 | Loss:  549.531 | lengthscale: 28.979 | outputscale: 0.733 | noise: 0.274
Iter 270 | Loss:  528.497 | lengthscale: 30.812 | outputscale: 0.728 | noise: 0.275
Iter 280 | Loss:  510.353 | lengthscale: 32.637 | outputscale: 0.724 | noise: 0.276
Iter 290 | Loss:  494.707 | lengthscale: 34.444 | outputscale: 0.721 | noise: 0.277
Iter 300 | Loss:  481.136 | lengthscale: 36.229 | outputscale: 0.718 | noise: 0.278
Iter 310 | Loss:  469.298 | lengthscale: 37.992 | outputscale: 0.716 | noise: 0.278
Iter 320 | Loss:  458.946 | lengthscale: 39.731 | outputscale: 0.715 | noise: 0.279
Iter 330 | Loss:  449.885 | lengthscale: 41.444 | outputscale: 0.714 | noise: 0.279
Iter 340 | Loss:  441.936 | lengthscale: 43.127 | outputscale: 0.714 | noise: 0.280
Iter 350 | Loss:  434.928 | lengthscale: 44.780 | outputscale: 0.714 | noise: 0.280
Iter 360 | Loss:  428.704 | lengthscale: 46.406 | outputscale: 0.715 | noise: 0.281
Iter 370 | Loss:  423.121 | lengthscale: 48.008 | outputscale: 0.716 | noise: 0.281
Iter 380 | Loss:  418.059 | lengthscale: 49.594 | outputscale: 0.717 | noise: 0.281
Iter 390 | Loss:  413.421 | lengthscale: 51.168 | outputscale: 0.718 | noise: 0.282
Iter 400 | Loss:  409.128 | lengthscale: 52.737 | outputscale: 0.719 | noise: 0.282
Iter 410 | Loss:  405.117 | lengthscale: 54.308 | outputscale: 0.721 | noise: 0.282
Iter 420 | Loss:  401.334 | lengthscale: 55.886 | outputscale: 0.722 | noise: 0.283
Iter 430 | Loss:  397.734 | lengthscale: 57.478 | outputscale: 0.723 | noise: 0.283
