Starting imports...
Importing argparse...
Importing torch...
Importing os...
Importing sngp.train and sngp.model...
Importing gaussian_process...
Importing dataset...
Importing json...
ALL IMPORTS COMPLETE!
Parsing arguments...
Arguments parsed! Running GP on Sin with N=1500
Checking CUDA availability...
Using CPU
Making Datasets...
Making Model...
Training Gaussian Process...
Iter   0 | Loss: -815.154 | lengthscale: 1.010 | outputscale: 1.010 | noise: 0.198
Iter  10 | Loss: -923.203 | lengthscale: 1.039 | outputscale: 1.115 | noise: 0.179
Iter  20 | Loss: -1020.715 | lengthscale: 1.072 | outputscale: 1.221 | noise: 0.162
Iter  30 | Loss: -1104.781 | lengthscale: 1.097 | outputscale: 1.322 | noise: 0.148
Iter  40 | Loss: -1173.024 | lengthscale: 1.119 | outputscale: 1.410 | noise: 0.135
Iter  50 | Loss: -1224.193 | lengthscale: 1.134 | outputscale: 1.484 | noise: 0.125
Iter  60 | Loss: -1258.702 | lengthscale: 1.145 | outputscale: 1.541 | noise: 0.116
Iter  70 | Loss: -1278.995 | lengthscale: 1.153 | outputscale: 1.584 | noise: 0.110
Iter  80 | Loss: -1288.848 | lengthscale: 1.157 | outputscale: 1.615 | noise: 0.105
Iter  90 | Loss: -1292.552 | lengthscale: 1.161 | outputscale: 1.637 | noise: 0.102
Iter 100 | Loss: -1293.470 | lengthscale: 1.162 | outputscale: 1.648 | noise: 0.100
Iter 110 | Loss: -1293.600 | lengthscale: 1.165 | outputscale: 1.651 | noise: 0.100
Iter 120 | Loss: -1293.498 | lengthscale: 1.164 | outputscale: 1.651 | noise: 0.099
Iter 130 | Loss: -1293.488 | lengthscale: 1.161 | outputscale: 1.656 | noise: 0.099
Iter 140 | Loss: -1293.586 | lengthscale: 1.162 | outputscale: 1.654 | noise: 0.099
Iter 150 | Loss: -1293.526 | lengthscale: 1.165 | outputscale: 1.656 | noise: 0.100
Iter 160 | Loss: -1293.584 | lengthscale: 1.162 | outputscale: 1.658 | noise: 0.100
Iter 170 | Loss: -1293.555 | lengthscale: 1.165 | outputscale: 1.658 | noise: 0.100
Iter 180 | Loss: -1293.589 | lengthscale: 1.162 | outputscale: 1.660 | noise: 0.100
Iter 190 | Loss: -1293.535 | lengthscale: 1.164 | outputscale: 1.657 | noise: 0.100
Iter 200 | Loss: -1293.557 | lengthscale: 1.162 | outputscale: 1.650 | noise: 0.100
Iter 210 | Loss: -1293.574 | lengthscale: 1.161 | outputscale: 1.642 | noise: 0.100
Iter 220 | Loss: -1293.564 | lengthscale: 1.160 | outputscale: 1.640 | noise: 0.100
Iter 230 | Loss: -1293.568 | lengthscale: 1.161 | outputscale: 1.642 | noise: 0.100
Iter 240 | Loss: -1293.593 | lengthscale: 1.160 | outputscale: 1.637 | noise: 0.100
Iter 250 | Loss: -1293.587 | lengthscale: 1.161 | outputscale: 1.640 | noise: 0.100
Iter 260 | Loss: -1293.532 | lengthscale: 1.160 | outputscale: 1.639 | noise: 0.100
Iter 270 | Loss: -1293.539 | lengthscale: 1.157 | outputscale: 1.636 | noise: 0.100
